% Model:              6412wing.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 22 2024, 16:37
% Table:              Table 1 - Surface Integration 1
% angleAttack (deg)      windSpeed (m/s)          Lift (N)                 Drag (N)
5                        5                        0.05681411563617036      0.04399637969626426
5                        15                       0.5043453344288431       0.39300770761609727
5                        25                       1.3982972611611106       1.090095993859122
5                        35                       2.7397960380578428       2.1353338375410216
5                        45                       4.528984761154231        3.528726826415924
14.999999999999998       5                        0.26211814686501633      0.10334954827762828
14.999999999999998       15                       2.344875481207           0.9248458730335303
14.999999999999998       25                       6.506085304892952        2.5660708973218966
14.999999999999998       35                       12.74750745832096        5.027401601983718
14.999999999999998       45                       21.069892677188303       8.309069915035858
45                       5                        0.5810628544188867       0.6195190576996765
45                       15                       5.217355795884888        5.562564441347511
45                       25                       14.484980496201448       15.443233333390808
45                       35                       28.384048660612855       30.261781070541417
45                       45                       46.91837396849407        50.02183741815048
