% Model:              flatPlateWing.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 22 2024, 16:37
% Table:              Table 1 - Surface Integration 1
% angleAttack (deg)      windSpeed (m/s)          Lift (N)                 Drag (N)
5                        5                        0.08336757752635492      0.053474543637736134
5                        15                       0.7512463141382759       0.47975985740060006
5                        25                       2.086761610965002        1.331739407041398
5                        35                       4.090674786281163        2.6094846172968587
5                        45                       6.761706265649212        4.312781247168842
14.999999999999998       5                        0.2222864897085384       0.11575797902061709
14.999999999999998       15                       1.9990455298813554       1.0400418375750606
14.999999999999998       25                       5.552554392386727        2.888143349427122
14.999999999999998       35                       10.882832301854815       5.659963401594937
14.999999999999998       45                       17.98976569201893        9.355559771491459
45                       5                        0.5464813579742713       0.6232939148507495
45                       15                       4.915615468605004        5.606440341022392
45                       25                       13.653199937192559       15.571889507825327
45                       35                       26.75993487802343        30.520059812586094
45                       45                       44.234831323258085       50.45026993674537
